,l0,l1,l2,alpha
0,7.516606851694363e-05,0.021130653401482853,0.03315214970108346,0.28871909750835817
1,0.0002114070209891343,0.025034046138940336,0.07797884900535157,0.3044165264655507
2,0.0004907766242746164,0.02669642662985509,0.08134522906686688,0.33157382368485894
3,0.000679096886965741,0.031290016253990194,0.10462158742479344,0.3383664483191743
4,0.0007302400957448218,0.04062282409691787,0.1159860318213343,0.33903807772865885
5,0.0007558776506122467,0.045078584162355564,0.1479692950461896,0.34350638707475906
6,0.0009984179619034195,0.05264369423085967,0.15060461534416197,0.35855048702523973
7,0.00105177529537296,0.05393066253569789,0.15351591123918862,0.3672272056797346
8,0.0013790788260133885,0.06091782754422759,0.15859146112902583,0.36741857525632493
9,0.0018958015982591808,0.06261242532684014,0.1608279930491024,0.36954895919810504
10,0.0018979965653589115,0.06452941902311606,0.16223103290208807,0.37039715558417713
11,0.0022416439177070924,0.0660413889639421,0.18626160969171746,0.37193089952397296
12,0.0026085898802066243,0.07176607421247339,0.1901117977894854,0.3723349463865973
13,0.002670565810737102,0.07219019596341197,0.2058218625645777,0.3740265686157902
14,0.002745239945258826,0.07457339617212988,0.2094233100419446,0.37461174329686264
15,0.0031300791272363187,0.07523558319716744,0.22684791056425846,0.3771904257116715
16,0.003156078553384137,0.07847848903996164,0.2316069690694357,0.3812152857602976
17,0.0032796861373200203,0.08015195141639431,0.2316907755829431,0.38169755808318273
18,0.003403867135649108,0.08303309539280163,0.2355786276400662,0.38300817218302663
19,0.0039081757205181415,0.08520069850099224,0.23771536220913922,0.386219351625721
20,0.003941200678795581,0.08728673975914147,0.24436264117519957,0.38662896906276517
21,0.004148685436498323,0.08780333407016186,0.24485701363762347,0.3884557435045095
22,0.00436956725705874,0.09386640448909632,0.24683862800948053,0.3931634966234843
23,0.004490046118300492,0.09583646710870657,0.2590774727019798,0.3945460786227135
24,0.004515454949910652,0.096383818589238,0.2637908174190957,0.39876543778329065
25,0.004731741074707409,0.09960708633335957,0.26418273511797796,0.3987773530774824
26,0.004863592857954329,0.10165519330839912,0.267946795309203,0.400046083170579
27,0.004960273965631645,0.1022114981552828,0.27320551869840326,0.403041029823789
28,0.004982500514932142,0.10590925393718213,0.27800229479515826,0.40348673556571213
29,0.005303175622954792,0.10618212979364537,0.2885840875874295,0.4047029146666994
30,0.006300853466890244,0.10620466301899958,0.2914538778914703,0.4056070055704934
31,0.006409913744989559,0.10990195704842114,0.30947272129793474,0.4060913465280548
32,0.006942646060795532,0.11396364566783844,0.31164578008729016,0.4070410835099014
33,0.007307158301150892,0.11665362112640251,0.31404717450018416,0.40706418076952533
34,0.007676909714965069,0.11695279710635126,0.32128224105832515,0.4078258483227045
35,0.009351107029525574,0.11822578199675753,0.32202071998240944,0.4090341835534113
36,0.009375168969726289,0.11894714738217013,0.3527946584923696,0.4105410542829165
37,0.009994699932013115,0.11930553578075948,0.36131787955185024,0.41280728486694585
38,0.010437562436543507,0.1224773444676247,0.3640978379511651,0.4133216230459497
39,0.010630175829595627,0.1241501393305231,0.36887053851358276,0.41359261718416285
40,0.012041360795801006,0.12706303323193474,0.37102356959558896,0.41363222609336087
41,0.012701998801795462,0.12775129675308142,0.3783569518321789,0.41451347657363463
42,0.012794445411452554,0.13045858098031263,0.3837972503913294,0.41457496024817436
43,0.013374353590299912,0.13132467369452022,0.39913576852366783,0.41663932342595217
44,0.01391438635716924,0.13327655990353382,0.3993184643103017,0.4172962109909786
45,0.014546128946662023,0.13523339226878428,0.3994277278002988,0.41804142552825124
46,0.014558269486693032,0.1378043283534129,0.40211830169780327,0.41969447523042835
47,0.014790969228106299,0.13815048015598297,0.41222485878304316,0.4206294125000597
48,0.015244692840442386,0.14003870234035645,0.4201587551287322,0.4227682576027576
49,0.016557993670440745,0.14218032307253936,0.4226847635685159,0.4230174510791759
50,0.016659370380308902,0.14236084421728662,0.43348142693033065,0.42358223650304083
51,0.017225329715131327,0.14994484333529126,0.44227262689928426,0.4236989982765567
52,0.017282038063528793,0.15546461218295848,0.4472343986627769,0.42463624824002527
53,0.01742891479406128,0.15749512693162399,0.4601740180378191,0.42467698349750466
54,0.018620968384387662,0.15828731726061218,0.4609039098253981,0.42484963638655104
55,0.019306897701926437,0.15923687773631817,0.470615409010349,0.4248997408360907
56,0.019481574907084,0.16239719540795233,0.4798253903642703,0.42593494900707174
57,0.01976194749576981,0.1630424396325908,0.4800089002545138,0.4260331619596476
58,0.020806218437287485,0.16306365475430384,0.48313383936316256,0.4271482373123471
59,0.021682671959967828,0.163120237055104,0.48960551959889165,0.4271673130217822
60,0.022342125661097556,0.16655005962221495,0.503702307287946,0.42845687427466617
61,0.022580515091838116,0.16938369762126745,0.5069060807426204,0.42871154510997483
62,0.022775775880101393,0.17016449038730186,0.5082854596335756,0.4287218170072935
63,0.022817336065114713,0.17606477777144822,0.5116930351279144,0.4311816393991648
64,0.022896523652387687,0.17833728316254768,0.5184504125819688,0.43220766629609575
65,0.023397745056465115,0.1800360301711132,0.5257631962412042,0.43244236591515617
66,0.024985505218055093,0.18382624393751457,0.5300136941047875,0.4326202276666504
67,0.025288676166289954,0.1862386185263304,0.548385485705603,0.43287392636536576
68,0.02645620428230333,0.18762360849935306,0.5487231115063312,0.4332585263045672
69,0.026703780562074286,0.1877884070081019,0.5533525066333842,0.4333269434818937
70,0.027104093215777336,0.1899986988104475,0.5679561031383638,0.43333490814858366
71,0.027964743241361216,0.19227325250705907,0.5732878927997285,0.4345806714954558
72,0.030521338772581452,0.193702833753916,0.578065376639348,0.43690888504201736
